District Name,District No,Jilha,Constituency Name,Constituency No,Total No. of Electors,Serial Poll,Total No. Valid Votes,No. of Rejected Votes,NOTA,Total,No. of Tendered Votes,Elected Person Name,Party Name of Elected Person,No. of Valid Votes Cast in Favour of Elected Person,Other Candidate Votes,Total EMV Votes,Total Postal ballot votes,Total Votes Polled
Nandurabar,,,AKKALKUWA (ST),1,319481,1,374,0,2,376,,Candidate_2,,3762,2908,6670,,6645
Nandurabar,,,AKKALKUWA (ST),1,319481,2,252,0,2,254,,Candidate_2,,3762,2908,6670,,6645
Nandurabar,,,AKKALKUWA (ST),1,319481,3,284,0,0,284,,Candidate_2,,3762,2908,6670,,6645
Nandurabar,,,AKKALKUWA (ST),1,319481,4,352,0,0,352,,Candidate_2,,3762,2908,6670,,6645
Nandurabar,,,AKKALKUWA (ST),1,319481,5,325,0,1,326,,Candidate_2,,3762,2908,6670,,6645
Nandurabar,,,AKKALKUWA (ST),1,319481,6,327,0,0,327,,Candidate_2,,3762,2908,6670,,6645
Nandurabar,,,AKKALKUWA (ST),1,319481,7,250,0,2,252,,Candidate_2,,3762,2908,6670,,6645
Nandurabar,,,AKKALKUWA (ST),1,319481,8,237,0,0,237,,Candidate_2,,3762,2908,6670,,6645
Nandurabar,,,AKKALKUWA (ST),1,319481,9,292,0,0,292,,Candidate_2,,3762,2908,6670,,6645
Nandurabar,,,AKKALKUWA (ST),1,319481,10,253,0,2,255,,Candidate_2,,3762,2908,6670,,6645
Nandurabar,,,AKKALKUWA (ST),1,319481,11,284,0,1,285,,Candidate_2,,3762,2908,6670,,6645
Nandurabar,,,AKKALKUWA (ST),1,319481,12,332,0,0,332,,Candidate_2,,3762,2908,6670,,6645
Nandurabar,,,AKKALKUWA (ST),1,319481,13,257,0,1,258,,Candidate_2,,3762,2908,6670,,6645
Nandurabar,,,AKKALKUWA (ST),1,319481,14,281,0,1,282,,Candidate_2,,3762,2908,6670,,6645
Nandurabar,,,AKKALKUWA (ST),1,319481,15,297,0,0,297,,Candidate_2,,3762,2908,6670,,6645
Nandurabar,,,AKKALKUWA (ST),1,319481,16,309,0,3,312,,Candidate_2,,3762,2908,6670,,6645
Nandurabar,,,AKKALKUWA (ST),1,319481,17,264,0,2,266,,Candidate_2,,3762,2908,6670,,6645
Nandurabar,,,AKKALKUWA (ST),1,319481,18,245,0,1,246,,Candidate_2,,3762,2908,6670,,6645
Nandurabar,,,AKKALKUWA (ST),1,319481,19,287,0,0,287,,Candidate_2,,3762,2908,6670,,6645
Nandurabar,,,AKKALKUWA (ST),1,319481,20,306,0,2,308,,Candidate_2,,3762,2908,6670,,6645
Nandurabar,,,AKKALKUWA (ST),1,319481,21,264,0,2,266,,Candidate_2,,3762,2908,6670,,6645
Nandurabar,,,AKKALKUWA (ST),1,319481,22,278,0,1,279,,Candidate_2,,3762,2908,6670,,6645
Nandurabar,,,AKKALKUWA (ST),1,319481,23,295,0,0,295,,Candidate_2,,3762,2908,6670,,6645
