District Name,District No,Jilha,Constituency Name,Constituency No,Total No. of Electors,Serial Poll,Total No. Valid Votes,No. of Rejected Votes,NOTA,Total,No. of Tendered Votes,Elected Person Name,Party Name of Elected Person,No. of Valid Votes Cast in Favour of Elected Person,Other Candidate Votes,Total EMV Votes,Total Postal ballot votes,Total Votes Polled
Jalna,,,,102,333282,1,2,4,0,6,1,YRAHDUOHC LALURHEN ULBAB,,135200,171003,306203,,157
Jalna,,,,102,333282,2,1,0,0,1,4,YRAHDUOHC LALURHEN ULBAB,,135200,171003,306203,,157
Jalna,,,,102,333282,3,0,1,0,1,4,YRAHDUOHC LALURHEN ULBAB,,135200,171003,306203,,157
Jalna,,,,102,333282,4,2,1,0,3,6,YRAHDUOHC LALURHEN ULBAB,,135200,171003,306203,,157
Jalna,,,,102,333282,5,0,0,0,0,7,YRAHDUOHC LALURHEN ULBAB,,135200,171003,306203,,157
Jalna,,,,102,333282,6,0,1,0,1,2,YRAHDUOHC LALURHEN ULBAB,,135200,171003,306203,,157
Jalna,,,,102,333282,7,1,1,0,2,0,YRAHDUOHC LALURHEN ULBAB,,135200,171003,306203,,157
Jalna,,,,102,333282,8,2,1,0,3,2,YRAHDUOHC LALURHEN ULBAB,,135200,171003,306203,,157
Jalna,,,,102,333282,9,1,2,0,3,0,YRAHDUOHC LALURHEN ULBAB,,135200,171003,306203,,157
Jalna,,,,102,333282,10,0,2,0,2,2,YRAHDUOHC LALURHEN ULBAB,,135200,171003,306203,,157
Jalna,,,,102,333282,11,1,0,0,1,3,YRAHDUOHC LALURHEN ULBAB,,135200,171003,306203,,157
Jalna,,,,102,333282,12,0,0,0,0,4,YRAHDUOHC LALURHEN ULBAB,,135200,171003,306203,,157
Jalna,,,,102,333282,13,0,1,0,1,0,YRAHDUOHC LALURHEN ULBAB,,135200,171003,306203,,157
Jalna,,,,102,333282,14,1,1,0,2,9,YRAHDUOHC LALURHEN ULBAB,,135200,171003,306203,,157
Jalna,,,,102,333282,15,1,1,0,2,10,YRAHDUOHC LALURHEN ULBAB,,135200,171003,306203,,157
Jalna,,,,102,333282,16,1,0,0,1,2,YRAHDUOHC LALURHEN ULBAB,,135200,171003,306203,,157
Jalna,,,,102,333282,17,0,0,0,0,3,YRAHDUOHC LALURHEN ULBAB,,135200,171003,306203,,157
Jalna,,,,102,333282,18,1,1,0,2,0,YRAHDUOHC LALURHEN ULBAB,,135200,171003,306203,,157
Jalna,,,,102,333282,19,0,0,0,0,1,YRAHDUOHC LALURHEN ULBAB,,135200,171003,306203,,157
Jalna,,,,102,333282,20,1,0,0,1,2,YRAHDUOHC LALURHEN ULBAB,,135200,171003,306203,,157
Jalna,,,,102,333282,21,2,0,0,2,2,YRAHDUOHC LALURHEN ULBAB,,135200,171003,306203,,157
Jalna,,,,102,333282,22,1,1,0,2,5,YRAHDUOHC LALURHEN ULBAB,,135200,171003,306203,,157
Jalna,,,,102,333282,23,1,2,0,3,4,YRAHDUOHC LALURHEN ULBAB,,135200,171003,306203,,157
Jalna,,,,102,333282,24,0,1,0,1,3,YRAHDUOHC LALURHEN ULBAB,,135200,171003,306203,,157
Jalna,,,,102,333282,25,0,0,0,0,3,YRAHDUOHC LALURHEN ULBAB,,135200,171003,306203,,157
Jalna,,,,102,333282,26,0,1,0,1,2,YRAHDUOHC LALURHEN ULBAB,,135200,171003,306203,,157
Jalna,,,,102,333282,27,1,1,0,2,4,YRAHDUOHC LALURHEN ULBAB,,135200,171003,306203,,157
Jalna,,,,102,333282,28,1,0,0,1,0,YRAHDUOHC LALURHEN ULBAB,,135200,171003,306203,,157
Jalna,,,,102,333282,29,1,0,0,1,2,YRAHDUOHC LALURHEN ULBAB,,135200,171003,306203,,157
Jalna,,,,102,333282,30,0,0,0,0,6,YRAHDUOHC LALURHEN ULBAB,,135200,171003,306203,,157
Jalna,,,,102,333282,31,0,1,0,1,3,YRAHDUOHC LALURHEN ULBAB,,135200,171003,306203,,157
