District Name,District No,Jilha,Constituency Name,Constituency No,Total No. of Electors,Serial Poll,Total No. Valid Votes,No. of Rejected Votes,NOTA,Total,No. of Tendered Votes,Elected Person Name,Party Name of Elected Person,No. of Valid Votes Cast in Favour of Elected Person,Other Candidate Votes,Total EMV Votes,Total Postal ballot votes,Total Votes Polled
Aurangabad,,,,111,119613,1,1,0,0,1,0,A ni t a G a n e s h V ai d y a,,125034,203239,328273,,192
Aurangabad,,,,111,119613,2,1,3,0,4,1,A ni t a G a n e s h V ai d y a,,125034,203239,328273,,192
Aurangabad,,,,111,119613,3,3,2,0,5,4,A ni t a G a n e s h V ai d y a,,125034,203239,328273,,192
Aurangabad,,,,111,119613,4,2,0,0,2,0,A ni t a G a n e s h V ai d y a,,125034,203239,328273,,192
Aurangabad,,,,111,119613,5,1,1,0,2,3,A ni t a G a n e s h V ai d y a,,125034,203239,328273,,192
Aurangabad,,,,111,119613,6,2,0,0,2,2,A ni t a G a n e s h V ai d y a,,125034,203239,328273,,192
Aurangabad,,,,111,119613,7,0,0,0,0,0,A ni t a G a n e s h V ai d y a,,125034,203239,328273,,192
Aurangabad,,,,111,119613,8,0,0,0,0,3,A ni t a G a n e s h V ai d y a,,125034,203239,328273,,192
Aurangabad,,,,111,119613,9,1,0,0,1,1,A ni t a G a n e s h V ai d y a,,125034,203239,328273,,192
Aurangabad,,,,111,119613,10,0,1,0,1,0,A ni t a G a n e s h V ai d y a,,125034,203239,328273,,192
Aurangabad,,,,111,119613,11,2,0,0,2,0,A ni t a G a n e s h V ai d y a,,125034,203239,328273,,192
Aurangabad,,,,111,119613,12,0,0,0,0,0,A ni t a G a n e s h V ai d y a,,125034,203239,328273,,192
Aurangabad,,,,111,119613,13,0,0,0,0,0,A ni t a G a n e s h V ai d y a,,125034,203239,328273,,192
Aurangabad,,,,111,119613,14,0,0,0,0,0,A ni t a G a n e s h V ai d y a,,125034,203239,328273,,192
Aurangabad,,,,111,119613,15,0,1,0,1,1,A ni t a G a n e s h V ai d y a,,125034,203239,328273,,192
Aurangabad,,,,111,119613,16,0,1,0,1,0,A ni t a G a n e s h V ai d y a,,125034,203239,328273,,192
Aurangabad,,,,111,119613,17,0,1,0,1,0,A ni t a G a n e s h V ai d y a,,125034,203239,328273,,192
Aurangabad,,,,111,119613,18,2,8,0,10,7,A ni t a G a n e s h V ai d y a,,125034,203239,328273,,192
Aurangabad,,,,111,119613,19,0,0,0,0,1,A ni t a G a n e s h V ai d y a,,125034,203239,328273,,192
Aurangabad,,,,111,119613,20,0,0,0,0,0,A ni t a G a n e s h V ai d y a,,125034,203239,328273,,192
Aurangabad,,,,111,119613,21,0,1,0,1,0,A ni t a G a n e s h V ai d y a,,125034,203239,328273,,192
Aurangabad,,,,111,119613,22,0,0,0,0,3,A ni t a G a n e s h V ai d y a,,125034,203239,328273,,192
Aurangabad,,,,111,119613,23,1,1,0,2,2,A ni t a G a n e s h V ai d y a,,125034,203239,328273,,192
Aurangabad,,,,111,119613,24,2,0,0,2,1,A ni t a G a n e s h V ai d y a,,125034,203239,328273,,192
Aurangabad,,,,111,119613,25,0,1,0,1,1,A ni t a G a n e s h V ai d y a,,125034,203239,328273,,192
Aurangabad,,,,111,119613,26,1,2,0,3,0,A ni t a G a n e s h V ai d y a,,125034,203239,328273,,192
Aurangabad,,,,111,119613,27,0,0,0,0,0,A ni t a G a n e s h V ai d y a,,125034,203239,328273,,192
Aurangabad,,,,111,119613,28,1,0,0,1,1,A ni t a G a n e s h V ai d y a,,125034,203239,328273,,192
Aurangabad,,,,111,119613,29,0,0,0,0,4,A ni t a G a n e s h V ai d y a,,125034,203239,328273,,192
Aurangabad,,,,111,119613,30,0,0,0,0,3,A ni t a G a n e s h V ai d y a,,125034,203239,328273,,192
Aurangabad,,,,111,119613,31,0,0,0,0,0,A ni t a G a n e s h V ai d y a,,125034,203239,328273,,192
Aurangabad,,,,111,119613,32,1,3,0,4,1,A ni t a G a n e s h V ai d y a,,125034,203239,328273,,192
Aurangabad,,,,111,119613,33,0,0,0,0,0,A ni t a G a n e s h V ai d y a,,125034,203239,328273,,192
Aurangabad,,,,111,119613,34,0,0,0,0,0,A ni t a G a n e s h V ai d y a,,125034,203239,328273,,192
Aurangabad,,,,111,119613,35,1,0,0,1,2,A ni t a G a n e s h V ai d y a,,125034,203239,328273,,192
Aurangabad,,,,111,119613,36,0,0,0,0,1,A ni t a G a n e s h V ai d y a,,125034,203239,328273,,192
Aurangabad,,,,111,119613,37,0,0,0,0,0,A ni t a G a n e s h V ai d y a,,125034,203239,328273,,192
Aurangabad,,,,111,119613,38,0,0,0,0,1,A ni t a G a n e s h V ai d y a,,125034,203239,328273,,192
Aurangabad,,,,111,119613,39,1,0,0,1,1,A ni t a G a n e s h V ai d y a,,125034,203239,328273,,192
Aurangabad,,,,111,119613,40,0,1,0,1,0,A ni t a G a n e s h V ai d y a,,125034,203239,328273,,192
Aurangabad,,,,111,119613,41,0,2,0,2,2,A ni t a G a n e s h V ai d y a,,125034,203239,328273,,192
Aurangabad,,,,111,119613,42,0,0,0,0,2,A ni t a G a n e s h V ai d y a,,125034,203239,328273,,192
Aurangabad,,,,111,119613,43,1,2,0,3,0,A ni t a G a n e s h V ai d y a,,125034,203239,328273,,192
Aurangabad,,,,111,119613,44,0,1,0,1,0,A ni t a G a n e s h V ai d y a,,125034,203239,328273,,192
Aurangabad,,,,111,119613,45,0,0,0,0,0,A ni t a G a n e s h V ai d y a,,125034,203239,328273,,192
Aurangabad,,,,111,119613,46,0,0,0,0,0,A ni t a G a n e s h V ai d y a,,125034,203239,328273,,192
Aurangabad,,,,111,119613,47,0,0,0,0,0,A ni t a G a n e s h V ai d y a,,125034,203239,328273,,192
Aurangabad,,,,111,119613,48,0,0,0,0,0,A ni t a G a n e s h V ai d y a,,125034,203239,328273,,192
Aurangabad,,,,111,119613,49,0,0,0,0,0,A ni t a G a n e s h V ai d y a,,125034,203239,328273,,192
Aurangabad,,,,111,119613,50,0,0,0,0,0,A ni t a G a n e s h V ai d y a,,125034,203239,328273,,192
Aurangabad,,,,111,119613,51,0,0,0,0,1,A ni t a G a n e s h V ai d y a,,125034,203239,328273,,192
Aurangabad,,,,111,119613,52,2,0,0,2,2,A ni t a G a n e s h V ai d y a,,125034,203239,328273,,192
Aurangabad,,,,111,119613,53,0,0,0,0,2,A ni t a G a n e s h V ai d y a,,125034,203239,328273,,192
Aurangabad,,,,111,119613,54,0,0,0,0,0,A ni t a G a n e s h V ai d y a,,125034,203239,328273,,192
Aurangabad,,,,111,119613,55,1,0,0,1,0,A ni t a G a n e s h V ai d y a,,125034,203239,328273,,192
