District Name,District No,Jilha,Constituency Name,Constituency No,Total No. of Electors,Serial Poll,Total No. Valid Votes,No. of Rejected Votes,NOTA,Total,No. of Tendered Votes,Elected Person Name,Party Name of Elected Person,No. of Valid Votes Cast in Favour of Elected Person,Other Candidate Votes,Total EMV Votes,Total Postal ballot votes,Total Votes Polled
Mumbai City,,,,178,,0,35,6,17,41,0,,,0,2064,2064,,384
Mumbai City,,,,178,,5,8,877,0,885,0,,,0,2064,2064,,384
Mumbai City,,,,178,,5,5,2,0,7,0,,,0,2064,2064,,384
Mumbai City,,,,178,,0,35,6,17,41,0,,,0,2064,2064,,384
Mumbai City,,,,178,,5,8,877,0,885,0,,,0,2064,2064,,384
Mumbai City,,,,178,,5,5,2,0,7,0,,,0,2064,2064,,384
Mumbai City,,,,178,,0,35,6,17,41,0,,,0,2064,2064,,384
Mumbai City,,,,178,,5,8,877,0,885,0,,,0,2064,2064,,384
Mumbai City,,,,178,,5,5,2,0,7,0,,,0,2064,2064,,384
Mumbai City,,,,178,,0,35,6,17,41,0,,,0,2064,2064,,384
Mumbai City,,,,178,,5,8,877,0,885,0,,,0,2064,2064,,384
Mumbai City,,,,178,,5,5,2,0,7,0,,,0,2064,2064,,384
Mumbai City,,,,178,,0,35,6,17,41,0,,,0,2064,2064,,384
Mumbai City,,,,178,,5,8,877,0,885,0,,,0,2064,2064,,384
Mumbai City,,,,178,,5,5,2,0,7,0,,,0,2064,2064,,384
Mumbai City,,,,178,,0,35,6,17,41,0,,,0,2064,2064,,384
Mumbai City,,,,178,,5,8,877,0,885,0,,,0,2064,2064,,384
Mumbai City,,,,178,,5,5,2,0,7,0,,,0,2064,2064,,384
Mumbai City,,,,178,,0,35,6,17,41,0,,,0,2064,2064,,384
Mumbai City,,,,178,,5,8,877,0,885,0,,,0,2064,2064,,384
Mumbai City,,,,178,,5,5,2,0,7,0,,,0,2064,2064,,384
Mumbai City,,,,178,,0,35,6,17,41,0,,,0,2064,2064,,384
Mumbai City,,,,178,,5,8,877,0,885,0,,,0,2064,2064,,384
Mumbai City,,,,178,,5,5,2,0,7,0,,,0,2064,2064,,384
