District Name,District No,Jilha,Constituency Name,Constituency No,Total No. of Electors,Serial Poll,Total No. Valid Votes,No. of Rejected Votes,NOTA,Total,No. of Tendered Votes,Elected Person Name,Party Name of Elected Person,No. of Valid Votes Cast in Favour of Elected Person,Other Candidate Votes,Total EMV Votes,Total Postal ballot votes,Total Votes Polled
Parbhani,,,,97,,574,91,413,532,504,0,,,0,148999,148999,,31506
Parbhani,,,,97,,3,1,53,0,54,0,,,0,148999,148999,,31506
Parbhani,,,,97,,0,0,451,93,451,0,,,0,148999,148999,,31506
Parbhani,,,,97,,254,389,2,539,391,0,,,0,148999,148999,,31506
Parbhani,,,,97,,207,4936,0,2901,4936,0,,,0,148999,148999,,31506
Parbhani,,,,97,,0,736,0,696,736,0,,,0,148999,148999,,31506
Parbhani,,,,97,,0,708,0,9685,708,0,,,0,148999,148999,,31506
Parbhani,,,,97,,0,0,0,1001,0,0,,,0,148999,148999,,31506
Parbhani,,,,97,,206,0,2,175,2,0,,,0,148999,148999,,31506
Parbhani,,,,97,,605,907,0,8,907,0,,,0,148999,148999,,31506
Parbhani,,,,97,,319,9,0,7901,9,0,,,0,148999,148999,,31506
Parbhani,,,,97,,0,0,307,0,307,0,,,0,148999,148999,,31506
Parbhani,,,,97,,0,1614,0,5,1614,0,,,0,148999,148999,,31506
Parbhani,,,,97,,215,44,252,163,296,0,,,0,148999,148999,,31506
Parbhani,,,,97,,673,927,853,183,1780,0,,,0,148999,148999,,31506
Parbhani,,,,97,,243,206,441,705,647,0,,,0,148999,148999,,31506
Parbhani,,,,97,,5,9,4770,84,4779,0,,,0,148999,148999,,31506
Parbhani,,,,97,,2,8,6,3,14,0,,,0,148999,148999,,31506
Parbhani,,,,97,,1,1,2,0,3,0,,,0,148999,148999,,31506
Parbhani,,,,97,,85,1,3,402,4,0,,,0,148999,148999,,31506
Parbhani,,,,97,,83,291,42,7,333,0,,,0,148999,148999,,31506
Parbhani,,,,97,,92,47,3,13,50,0,,,0,148999,148999,,31506
Parbhani,,,,97,,2,3,0,2,3,0,,,0,148999,148999,,31506
Parbhani,,,,97,,0,1,0,1,1,0,,,0,148999,148999,,31506
Parbhani,,,,97,,0,0,2,0,2,0,,,0,148999,148999,,31506
Parbhani,,,,97,,0,0,0,0,0,0,,,0,148999,148999,,31506
Parbhani,,,,97,,2,1,0,0,1,0,,,0,148999,148999,,31506
Parbhani,,,,97,,0,0,0,0,0,0,,,0,148999,148999,,31506
Parbhani,,,,97,,0,2,1,0,3,0,,,0,148999,148999,,31506
Parbhani,,,,97,,0,883,1,0,884,0,,,0,148999,148999,,31506
Parbhani,,,,97,,656,678,819,540,1497,0,,,0,148999,148999,,31506
Parbhani,,,,97,,350,0,3,86,3,0,,,0,148999,148999,,31506
Parbhani,,,,97,,0,0,95,0,95,0,,,0,148999,148999,,31506
Parbhani,,,,97,,0,0,184,0,184,0,,,0,148999,148999,,31506
Parbhani,,,,97,,0,0,0,349,0,0,,,0,148999,148999,,31506
Parbhani,,,,97,,0,605,0,875,605,0,,,0,148999,148999,,31506
Parbhani,,,,97,,355,3,0,0,3,0,,,0,148999,148999,,31506
Parbhani,,,,97,,0,5,0,495,5,0,,,0,148999,148999,,31506
Parbhani,,,,97,,229,983,0,586,983,0,,,0,148999,148999,,31506
