District Name,District No,Jilha,Constituency Name,Constituency No,Total No. of Electors,Serial Poll,Total No. Valid Votes,No. of Rejected Votes,NOTA,Total,No. of Tendered Votes,Elected Person Name,Party Name of Elected Person,No. of Valid Votes Cast in Favour of Elected Person,Other Candidate Votes,Total EMV Votes,Total Postal ballot votes,Total Votes Polled
Ratnagiri,,,"Chiplun Assembly Constituency
PART I
Name of the Assembly Segment",265,,1,3,561,0,564,0,,,0,376574,376574,,2305
Ratnagiri,,,"Chiplun Assembly Constituency
PART I
Name of the Assembly Segment",265,,2,0,433,0,433,0,,,0,376574,376574,,2305
Ratnagiri,,,"Chiplun Assembly Constituency
PART I
Name of the Assembly Segment",265,,3,10,595,0,605,0,,,0,376574,376574,,2305
Ratnagiri,,,"Chiplun Assembly Constituency
PART I
Name of the Assembly Segment",265,,4,3,429,0,432,0,,,0,376574,376574,,2305
Ratnagiri,,,"Chiplun Assembly Constituency
PART I
Name of the Assembly Segment",265,,5,6,811,0,817,0,,,0,376574,376574,,2305
Ratnagiri,,,"Chiplun Assembly Constituency
PART I
Name of the Assembly Segment",265,,6,2,286,0,288,0,,,0,376574,376574,,2305
Ratnagiri,,,"Chiplun Assembly Constituency
PART I
Name of the Assembly Segment",265,,7,12,918,0,930,0,,,0,376574,376574,,2305
Ratnagiri,,,"Chiplun Assembly Constituency
PART I
Name of the Assembly Segment",265,,8,7,1075,0,1082,0,,,0,376574,376574,,2305
Ratnagiri,,,"Chiplun Assembly Constituency
PART I
Name of the Assembly Segment",265,,9,7,869,0,876,0,,,0,376574,376574,,2305
Ratnagiri,,,"Chiplun Assembly Constituency
PART I
Name of the Assembly Segment",265,,10,11,820,0,831,0,,,0,376574,376574,,2305
Ratnagiri,,,"Chiplun Assembly Constituency
PART I
Name of the Assembly Segment",265,,11,9,755,0,764,0,,,0,376574,376574,,2305
Ratnagiri,,,"Chiplun Assembly Constituency
PART I
Name of the Assembly Segment",265,,12,10,855,0,865,0,,,0,376574,376574,,2305
Ratnagiri,,,"Chiplun Assembly Constituency
PART I
Name of the Assembly Segment",265,,13,3,468,0,471,0,,,0,376574,376574,,2305
Ratnagiri,,,"Chiplun Assembly Constituency
PART I
Name of the Assembly Segment",265,,14,6,562,0,568,0,,,0,376574,376574,,2305
Ratnagiri,,,"Chiplun Assembly Constituency
PART I
Name of the Assembly Segment",265,,15,1,369,0,370,0,,,0,376574,376574,,2305
Ratnagiri,,,"Chiplun Assembly Constituency
PART I
Name of the Assembly Segment",265,,16,3,462,0,465,0,,,0,376574,376574,,2305
Ratnagiri,,,"Chiplun Assembly Constituency
PART I
Name of the Assembly Segment",265,,17,10,995,0,1005,0,,,0,376574,376574,,2305
Ratnagiri,,,"Chiplun Assembly Constituency
PART I
Name of the Assembly Segment",265,,18,12,642,0,654,0,,,0,376574,376574,,2305
Ratnagiri,,,"Chiplun Assembly Constituency
PART I
Name of the Assembly Segment",265,,19,3,349,0,352,0,,,0,376574,376574,,2305
Ratnagiri,,,"Chiplun Assembly Constituency
PART I
Name of the Assembly Segment",265,,20,0,272,0,272,0,,,0,376574,376574,,2305
Ratnagiri,,,"Chiplun Assembly Constituency
PART I
Name of the Assembly Segment",265,,21,2,412,0,414,0,,,0,376574,376574,,2305
Ratnagiri,,,"Chiplun Assembly Constituency
PART I
Name of the Assembly Segment",265,,22,13,906,0,919,0,,,0,376574,376574,,2305
Ratnagiri,,,"Chiplun Assembly Constituency
PART I
Name of the Assembly Segment",265,,23,5,642,0,647,0,,,0,376574,376574,,2305
Ratnagiri,,,"Chiplun Assembly Constituency
PART I
Name of the Assembly Segment",265,,24,6,645,0,651,0,,,0,376574,376574,,2305
Ratnagiri,,,"Chiplun Assembly Constituency
PART I
Name of the Assembly Segment",265,,25,7,721,0,728,0,,,0,376574,376574,,2305
Ratnagiri,,,"Chiplun Assembly Constituency
PART I
Name of the Assembly Segment",265,,26,5,626,0,631,0,,,0,376574,376574,,2305
Ratnagiri,,,"Chiplun Assembly Constituency
PART I
Name of the Assembly Segment",265,,27,8,797,0,805,0,,,0,376574,376574,,2305
Ratnagiri,,,"Chiplun Assembly Constituency
PART I
Name of the Assembly Segment",265,,28,13,980,0,993,0,,,0,376574,376574,,2305
Ratnagiri,,,"Chiplun Assembly Constituency
PART I
Name of the Assembly Segment",265,,29,7,811,0,818,0,,,0,376574,376574,,2305
Ratnagiri,,,"Chiplun Assembly Constituency
PART I
Name of the Assembly Segment",265,,30,5,797,0,802,0,,,0,376574,376574,,2305
