District Name,District No,Jilha,Constituency Name,Constituency No,Total No. of Electors,Serial Poll,Total No. Valid Votes,No. of Rejected Votes,NOTA,Total,No. of Tendered Votes,Elected Person Name,Party Name of Elected Person,No. of Valid Votes Cast in Favour of Elected Person,Other Candidate Votes,Total EMV Votes,Total Postal ballot votes,Total Votes Polled
Mumbai City,,,,186,241963,1,0,4,0,4,0,fo ruovaf ni detsac setov dilav fo oN,,74765,39997,114762,,0
Mumbai City,,,,186,241963,2,0,10,0,10,0,fo ruovaf ni detsac setov dilav fo oN,,74765,39997,114762,,0
Mumbai City,,,,186,241963,3,0,9,0,9,0,fo ruovaf ni detsac setov dilav fo oN,,74765,39997,114762,,0
Mumbai City,,,,186,241963,4,0,3,0,3,0,fo ruovaf ni detsac setov dilav fo oN,,74765,39997,114762,,0
Mumbai City,,,,186,241963,5,0,3,0,3,0,fo ruovaf ni detsac setov dilav fo oN,,74765,39997,114762,,0
Mumbai City,,,,186,241963,6,0,5,0,5,0,fo ruovaf ni detsac setov dilav fo oN,,74765,39997,114762,,0
Mumbai City,,,,186,241963,7,0,2,0,2,0,fo ruovaf ni detsac setov dilav fo oN,,74765,39997,114762,,0
Mumbai City,,,,186,241963,8,0,15,0,15,1,fo ruovaf ni detsac setov dilav fo oN,,74765,39997,114762,,0
Mumbai City,,,,186,241963,9,0,15,0,15,0,fo ruovaf ni detsac setov dilav fo oN,,74765,39997,114762,,0
Mumbai City,,,,186,241963,10,0,3,0,3,0,fo ruovaf ni detsac setov dilav fo oN,,74765,39997,114762,,0
Mumbai City,,,,186,241963,11,0,6,0,6,1,fo ruovaf ni detsac setov dilav fo oN,,74765,39997,114762,,0
Mumbai City,,,,186,241963,12,0,1,0,1,0,fo ruovaf ni detsac setov dilav fo oN,,74765,39997,114762,,0
Mumbai City,,,,186,241963,13,0,3,0,3,0,fo ruovaf ni detsac setov dilav fo oN,,74765,39997,114762,,0
Mumbai City,,,,186,241963,14,0,1,0,1,2,fo ruovaf ni detsac setov dilav fo oN,,74765,39997,114762,,0
Mumbai City,,,,186,241963,15,0,2,0,2,0,fo ruovaf ni detsac setov dilav fo oN,,74765,39997,114762,,0
Mumbai City,,,,186,241963,16,0,0,0,0,0,fo ruovaf ni detsac setov dilav fo oN,,74765,39997,114762,,0
Mumbai City,,,,186,241963,17,0,1,0,1,0,fo ruovaf ni detsac setov dilav fo oN,,74765,39997,114762,,0
Mumbai City,,,,186,241963,18,0,4,0,4,0,fo ruovaf ni detsac setov dilav fo oN,,74765,39997,114762,,0
Mumbai City,,,,186,241963,19,0,1,0,1,0,fo ruovaf ni detsac setov dilav fo oN,,74765,39997,114762,,0
Mumbai City,,,,186,241963,20,0,1,0,1,0,fo ruovaf ni detsac setov dilav fo oN,,74765,39997,114762,,0
Mumbai City,,,,186,241963,21,0,2,0,2,0,fo ruovaf ni detsac setov dilav fo oN,,74765,39997,114762,,0
Mumbai City,,,,186,241963,22,0,2,0,2,0,fo ruovaf ni detsac setov dilav fo oN,,74765,39997,114762,,0
Mumbai City,,,,186,241963,23,0,5,0,5,0,fo ruovaf ni detsac setov dilav fo oN,,74765,39997,114762,,0
Mumbai City,,,,186,241963,24,0,4,0,4,0,fo ruovaf ni detsac setov dilav fo oN,,74765,39997,114762,,0
Mumbai City,,,,186,241963,25,0,2,0,2,0,fo ruovaf ni detsac setov dilav fo oN,,74765,39997,114762,,0
Mumbai City,,,,186,241963,26,0,4,0,4,0,fo ruovaf ni detsac setov dilav fo oN,,74765,39997,114762,,0
Mumbai City,,,,186,241963,27,0,4,0,4,0,fo ruovaf ni detsac setov dilav fo oN,,74765,39997,114762,,0
Mumbai City,,,,186,241963,28,0,0,0,0,0,fo ruovaf ni detsac setov dilav fo oN,,74765,39997,114762,,0
Mumbai City,,,,186,241963,29,0,1,0,1,0,fo ruovaf ni detsac setov dilav fo oN,,74765,39997,114762,,0
Mumbai City,,,,186,241963,30,0,0,0,0,0,fo ruovaf ni detsac setov dilav fo oN,,74765,39997,114762,,0
Mumbai City,,,,186,241963,31,0,12,0,12,0,fo ruovaf ni detsac setov dilav fo oN,,74765,39997,114762,,0
Mumbai City,,,,186,241963,32,0,9,0,9,0,fo ruovaf ni detsac setov dilav fo oN,,74765,39997,114762,,0
Mumbai City,,,,186,241963,33,0,13,0,13,0,fo ruovaf ni detsac setov dilav fo oN,,74765,39997,114762,,0
Mumbai City,,,,186,241963,34,0,1,0,1,0,fo ruovaf ni detsac setov dilav fo oN,,74765,39997,114762,,0
Mumbai City,,,,186,241963,35,0,1,0,1,0,fo ruovaf ni detsac setov dilav fo oN,,74765,39997,114762,,0
Mumbai City,,,,186,241963,36,0,1,0,1,0,fo ruovaf ni detsac setov dilav fo oN,,74765,39997,114762,,0
Mumbai City,,,,186,241963,37,0,3,0,3,0,fo ruovaf ni detsac setov dilav fo oN,,74765,39997,114762,,0
Mumbai City,,,,186,241963,38,0,1,0,1,0,fo ruovaf ni detsac setov dilav fo oN,,74765,39997,114762,,0
Mumbai City,,,,186,241963,39,0,5,0,5,0,fo ruovaf ni detsac setov dilav fo oN,,74765,39997,114762,,0
Mumbai City,,,,186,241963,40,0,2,0,2,0,fo ruovaf ni detsac setov dilav fo oN,,74765,39997,114762,,0
Mumbai City,,,,186,241963,41,0,7,0,7,0,fo ruovaf ni detsac setov dilav fo oN,,74765,39997,114762,,0
Mumbai City,,,,186,241963,42,0,0,0,0,0,fo ruovaf ni detsac setov dilav fo oN,,74765,39997,114762,,0
Mumbai City,,,,186,241963,43,0,2,0,2,0,fo ruovaf ni detsac setov dilav fo oN,,74765,39997,114762,,0
Mumbai City,,,,186,241963,44,0,4,0,4,0,fo ruovaf ni detsac setov dilav fo oN,,74765,39997,114762,,0
Mumbai City,,,,186,241963,45,0,2,0,2,0,fo ruovaf ni detsac setov dilav fo oN,,74765,39997,114762,,0
Mumbai City,,,,186,241963,46,0,2,0,2,0,fo ruovaf ni detsac setov dilav fo oN,,74765,39997,114762,,0
Mumbai City,,,,186,241963,47,0,0,0,0,0,fo ruovaf ni detsac setov dilav fo oN,,74765,39997,114762,,0
Mumbai City,,,,186,241963,48,0,8,0,8,0,fo ruovaf ni detsac setov dilav fo oN,,74765,39997,114762,,0
Mumbai City,,,,186,241963,49,0,0,0,0,0,fo ruovaf ni detsac setov dilav fo oN,,74765,39997,114762,,0
Mumbai City,,,,186,241963,50,0,3,0,3,0,fo ruovaf ni detsac setov dilav fo oN,,74765,39997,114762,,0
Mumbai City,,,,186,241963,51,0,2,0,2,0,fo ruovaf ni detsac setov dilav fo oN,,74765,39997,114762,,0
Mumbai City,,,,186,241963,52,0,5,0,5,0,fo ruovaf ni detsac setov dilav fo oN,,74765,39997,114762,,0
Mumbai City,,,,186,241963,53,0,4,0,4,0,fo ruovaf ni detsac setov dilav fo oN,,74765,39997,114762,,0
Mumbai City,,,,186,241963,54,0,12,0,12,0,fo ruovaf ni detsac setov dilav fo oN,,74765,39997,114762,,0
Mumbai City,,,,186,241963,55,0,5,0,5,0,fo ruovaf ni detsac setov dilav fo oN,,74765,39997,114762,,0
Mumbai City,,,,186,241963,56,0,6,0,6,0,fo ruovaf ni detsac setov dilav fo oN,,74765,39997,114762,,0
