District Name,District No,Jilha,Constituency Name,Constituency No,Total No. of Electors,Serial Poll,Total No. Valid Votes,No. of Rejected Votes,NOTA,Total,No. of Tendered Votes,Elected Person Name,Party Name of Elected Person,No. of Valid Votes Cast in Favour of Elected Person,Other Candidate Votes,Total EMV Votes,Total Postal ballot votes,Total Votes Polled
Kolhapur,,,,272,,7,85,1,895,86,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,3,5,78,3,83,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,35,0,1,5,1,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,1,2,0,85,2,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,7,85,1,895,86,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,3,5,78,3,83,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,35,0,1,5,1,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,1,2,0,85,2,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,7,85,1,895,86,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,3,5,78,3,83,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,35,0,1,5,1,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,1,2,0,85,2,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,7,85,1,895,86,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,3,5,78,3,83,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,35,0,1,5,1,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,1,2,0,85,2,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,7,85,1,895,86,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,3,5,78,3,83,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,35,0,1,5,1,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,1,2,0,85,2,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,7,85,1,895,86,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,3,5,78,3,83,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,35,0,1,5,1,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,1,2,0,85,2,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,7,85,1,895,86,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,3,5,78,3,83,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,35,0,1,5,1,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,1,2,0,85,2,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,7,85,1,895,86,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,3,5,78,3,83,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,35,0,1,5,1,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,1,2,0,85,2,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,7,85,1,895,86,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,3,5,78,3,83,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,35,0,1,5,1,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,1,2,0,85,2,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,7,85,1,895,86,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,3,5,78,3,83,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,35,0,1,5,1,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,1,2,0,85,2,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,7,85,1,895,86,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,3,5,78,3,83,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,35,0,1,5,1,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,1,2,0,85,2,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,7,85,1,895,86,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,3,5,78,3,83,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,35,0,1,5,1,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,1,2,0,85,2,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,7,85,1,895,86,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,3,5,78,3,83,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,35,0,1,5,1,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,1,2,0,85,2,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,7,85,1,895,86,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,3,5,78,3,83,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,35,0,1,5,1,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,1,2,0,85,2,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,7,85,1,895,86,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,3,5,78,3,83,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,35,0,1,5,1,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,1,2,0,85,2,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,7,85,1,895,86,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,3,5,78,3,83,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,35,0,1,5,1,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,1,2,0,85,2,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,7,85,1,895,86,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,3,5,78,3,83,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,35,0,1,5,1,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,1,2,0,85,2,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,7,85,1,895,86,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,3,5,78,3,83,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,35,0,1,5,1,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,1,2,0,85,2,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,7,85,1,895,86,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,3,5,78,3,83,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,35,0,1,5,1,0,,,0,2622,2622,,1748
Kolhapur,,,,272,,1,2,0,85,2,0,,,0,2622,2622,,1748
