District Name,District No,Jilha,Constituency Name,Constituency No,Total No. of Electors,Serial Poll,Total No. Valid Votes,No. of Rejected Votes,NOTA,Total,No. of Tendered Votes,Elected Person Name,Party Name of Elected Person,No. of Valid Votes Cast in Favour of Elected Person,Other Candidate Votes,Total EMV Votes,Total Postal ballot votes,Total Votes Polled
Ahmednagar,,,,223,325166,1,3,1,0,4,0,ERUPNAT OARDASARP TKAJARP,,134889,150655,285544,,1228
Ahmednagar,,,,223,325166,2,7,0,0,7,0,ERUPNAT OARDASARP TKAJARP,,134889,150655,285544,,1228
Ahmednagar,,,,223,325166,3,1,3,0,4,0,ERUPNAT OARDASARP TKAJARP,,134889,150655,285544,,1228
Ahmednagar,,,,223,325166,4,1,0,0,1,0,ERUPNAT OARDASARP TKAJARP,,134889,150655,285544,,1228
Ahmednagar,,,,223,325166,5,3,2,0,5,0,ERUPNAT OARDASARP TKAJARP,,134889,150655,285544,,1228
Ahmednagar,,,,223,325166,6,9,2,0,11,0,ERUPNAT OARDASARP TKAJARP,,134889,150655,285544,,1228
Ahmednagar,,,,223,325166,7,18,6,0,24,0,ERUPNAT OARDASARP TKAJARP,,134889,150655,285544,,1228
Ahmednagar,,,,223,325166,8,17,0,0,17,0,ERUPNAT OARDASARP TKAJARP,,134889,150655,285544,,1228
Ahmednagar,,,,223,325166,9,4,0,0,4,0,ERUPNAT OARDASARP TKAJARP,,134889,150655,285544,,1228
Ahmednagar,,,,223,325166,10,2,3,0,5,0,ERUPNAT OARDASARP TKAJARP,,134889,150655,285544,,1228
Ahmednagar,,,,223,325166,11,0,2,0,2,0,ERUPNAT OARDASARP TKAJARP,,134889,150655,285544,,1228
Ahmednagar,,,,223,325166,12,0,2,0,2,0,ERUPNAT OARDASARP TKAJARP,,134889,150655,285544,,1228
Ahmednagar,,,,223,325166,13,0,6,0,6,0,ERUPNAT OARDASARP TKAJARP,,134889,150655,285544,,1228
Ahmednagar,,,,223,325166,14,2,2,0,4,0,ERUPNAT OARDASARP TKAJARP,,134889,150655,285544,,1228
Ahmednagar,,,,223,325166,15,0,0,0,0,0,ERUPNAT OARDASARP TKAJARP,,134889,150655,285544,,1228
Ahmednagar,,,,223,325166,16,9,1,0,10,0,ERUPNAT OARDASARP TKAJARP,,134889,150655,285544,,1228
Ahmednagar,,,,223,325166,17,1,4,0,5,0,ERUPNAT OARDASARP TKAJARP,,134889,150655,285544,,1228
Ahmednagar,,,,223,325166,18,0,1,0,1,0,ERUPNAT OARDASARP TKAJARP,,134889,150655,285544,,1228
Ahmednagar,,,,223,325166,19,2,7,0,9,0,ERUPNAT OARDASARP TKAJARP,,134889,150655,285544,,1228
Ahmednagar,,,,223,325166,20,0,0,0,0,0,ERUPNAT OARDASARP TKAJARP,,134889,150655,285544,,1228
Ahmednagar,,,,223,325166,21,4,2,0,6,0,ERUPNAT OARDASARP TKAJARP,,134889,150655,285544,,1228
Ahmednagar,,,,223,325166,22,3,6,0,9,0,ERUPNAT OARDASARP TKAJARP,,134889,150655,285544,,1228
Ahmednagar,,,,223,325166,23,2,0,0,2,0,ERUPNAT OARDASARP TKAJARP,,134889,150655,285544,,1228
Ahmednagar,,,,223,325166,24,0,0,0,0,0,ERUPNAT OARDASARP TKAJARP,,134889,150655,285544,,1228
Ahmednagar,,,,223,325166,25,1,0,0,1,0,ERUPNAT OARDASARP TKAJARP,,134889,150655,285544,,1228
